label,file,parse_status,size_mb,duration_s,topic_count,useful_topics,has_battery,has_gps,has_local_position,has_attitude,has_acceleration,max_ground_speed_mps,mean_ground_speed_mps,max_vertical_speed_mps,max_accel_mps2,mean_accel_mps2,local_xy_span_m,battery_start_pct,battery_end_pct,battery_drop_pct,battery_drop_pct_per_min,mean_current_a,mean_voltage_v
normal_good,0004dbb9-c57b-442c-be97-3d24d722d5fa.ulg,ok,4.038,146.645,59,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,1,4.612,0.197,2.992,13.311,9.805,13.692,70.0,70.0,0.0,0.0,10.0,16.0
normal_good,006b1399-5b55-4085-87a3-b08b39b6be1a.ulg,ok,7.089,248.957,66,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,1,5.654,2.832,3.004,31.591,9.835,302.207,70.0,70.0,0.0,0.0,10.0,16.0
normal_good,01061f1b-a7c9-41cf-9ed2-65d31497608c.ulg,ok,7.969,231.274,51,battery_status;sensor_combined;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,0,0.989,0.303,1.579,,,6.047,100.0,100.0,0.0,0.0,9.146,16.091
normal_good,01f55399-84d2-497a-8ed5-9a92abc9ac73.ulg,ok,15.735,149.805,63,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,1,1.054,0.173,0.454,52.124,9.897,4.046,0.0,0.0,0.0,0.0,-0.206,-0.302
normal_good,028f6c5f-058a-4fee-ae5f-0a0f8df24774.ulg,ok,5.923,62.005,69,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,1,2.647,0.247,1.183,15.852,9.815,5.815,38.814,39.902,-1.088,-1.053,7.56,14.933
normal_good,03762a0f-e428-40e9-9483-a7d7f2036a4d.ulg,ok,1.081,35.12,76,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,1,0.161,0.08,0.1,10.652,9.848,1.345,94.911,94.125,0.786,1.343,0.717,24.926
normal_good,03955d10-4d3d-4769-ba0d-e6b35cd58bae.ulg,ok,4.753,125.628,66,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,1,33.6,7.447,11.243,38.446,10.954,285.08,100.0,62.092,37.908,18.105,45.182,20.394
normal_good,03c7415d-6d6a-4bdf-82be-fa427cc6c250.ulg,ok,14.04,117.042,65,battery_status;sensor_combined;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_local_position;vehicle_status,1,0,1,1,1,0.906,0.132,0.66,35.59,9.817,4.036,84.432,65.081,19.351,9.92,34.474,10.873
normal_good,03fe170e-c358-4387-bf79-6ad9b59cd249.ulg,ok,4.048,148.711,59,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,1,4.736,0.217,2.996,14.805,9.809,15.248,70.0,70.0,0.0,0.0,10.0,16.0
normal_good,04e3635c-9bb4-4928-bf6e-67c9033d2156.ulg,ok,2.228,80.974,59,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,1,1.96,0.167,0.998,12.832,9.8,5.24,70.0,70.0,0.0,0.0,10.0,16.0
normal_good,051424bd-71f9-4f50-a957-6ea82a85f52f.ulg,ok,5.976,45.262,65,battery_status;sensor_combined;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_local_position;vehicle_status,1,0,1,1,1,0.093,0.033,0.707,31.788,9.834,0.193,44.759,42.387,2.372,3.144,30.902,10.455
normal_good,05873753-2643-41c3-90da-4d8a5c4ec471.ulg,ok,20.998,78.952,78,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,1,1,1,1,1,6.016,1.21,9.704,466.15,10.181,42.061,98.305,50.003,48.302,36.707,-1.0,15.457
normal_good,063d00e6-c184-4ee9-afe8-e863c65190f1.ulg,ok,0.24,9.043,58,battery_status;sensor_combined;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_local_position;vehicle_status,1,0,1,1,1,0.057,0.027,0.027,10.057,9.822,0.035,78.516,78.393,0.123,0.816,0.0,11.583
