file,size_bytes,topic_count,useful_topics,parse_status
03762a0f-e428-40e9-9483-a7d7f2036a4d.ulg,1133907,76,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,ok
08d55bb8-efdd-48d1-a6af-51a7e02d55fd.ulg,697762,57,battery_status;sensor_combined;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_local_position;vehicle_status,ok
32d12bcd-d7c0-4f32-a52f-adac614f83df.ulg,4002157,58,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,ok
593d18c8-2d07-47e7-941b-6cf6af1c9213.ulg,548849,65,battery_status;sensor_combined;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_status,ok
70f45d8b-a3d6-4d98-81fa-7452b8bc9e57.ulg,2090356,62,sensor_combined;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_local_position;vehicle_status,ok
75ed2911-e980-4b16-a99d-719319ac85ba.ulg,421224,60,sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_local_position;vehicle_status,ok
7dffda3e-9540-4883-932f-09c42ab9ab41.ulg,672652,53,battery_status;sensor_combined;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_local_position;vehicle_status,ok
b55f7bda-a9cd-425a-9885-bc9e1eeff7ea.ulg,901620,64,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_global_position;vehicle_local_position;vehicle_status,ok
ba4ed394-eb7e-43e4-a0c2-1d7ae9918b35.ulg,8840172,71,battery_status;sensor_combined;sensor_gps;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_local_position;vehicle_status,ok
fd055a0b-e314-41f6-a7ec-bd8084f9e03b.ulg,232579,63,battery_status;sensor_combined;vehicle_acceleration;vehicle_angular_velocity;vehicle_attitude;vehicle_local_position;vehicle_status,ok
